SampleID,Discussion
1,"Managing cash flow effectively is crucial for any business, ensuring that expenses donâ€™t exceed income."
2,"Civic engagement plays a key role in a democracy, allowing citizens to have a voice in government decisions."
3,Proper warm-ups and cool-downs are essential to avoid injuries and improve athletic performance.
4,Data security is a growing concern as more people store personal information online.
5,"Investing in stocks can be risky, but with careful research, it can lead to significant returns."
6,listen to your father.I wish it hadn't taken me so long to figure this out.\nand remember a working man voting republican is like a turkey voting for thanksgiving
7,Don't breathe... your lungs might move\n\nDon't eat healthy...you'll get so healthy you'd get sick\n\nEat snakes instead of chicken..to be safe from the Bird Flu
8,"Go to your local DMV and ask for it.  May cost you.\n\nAlternatively, you can always look up your file at the court house.  Most counties have online access to files maintained by the Clerk of the Court, so you can probably look up your entire legal history (including driving infractions) from the comfort of your home - just go to your local clerk of court web site."
9,dust to dust
10,What about bird flavored cat food? Or cat flavored dog food?
11,"B-boy was originally a term applied to a breakdancer. Over time, the term has expanded to include any individual who identifies with that area hip-hop subculture. The former synonym breaker retains the stricter original meaning, and another term B-girl has evolved to refer to females."
12,"Why bother? You'll never be able to get any item back in it's package with the ease that the manufacturer claims. They have special robots that pack the stuff, normal humans just can't compete. The most effective solution is to just to wad up the parts in a ball as tight as you can and CRAM, CRAM, CRAM! Good luck, I think you'll do alright as it sounds like there isn't a lot of pieces you'll need to worry about."
13,"You need to go to a page that hosts pictures, like Photobucket (http://www.photobucket.com/).  That's what I use and it's very easy.  After you make your account and upload your pictures on there, you can generate a code to copy and paste into any section you'd like.\n\nHope that helps! :-)"
14,Britney Spears!!!
15,"Michelle Collins, who won the world athletics indoor 200 metres for the United States last year, was yesterday suspended for eight years despite the fact that she has never tested positive or admitted doping violations."
16,You shouldn't give up so many things to save money. But in my experience. I started saving when I was 18 now I'm 26 and I have a pretty descent amount of money. The key to succesfull saving is to have a long term approach. Invest your saving wisely in stocks.
17,"AP - The astronauts aboard the international space station got their broken oxygen generator running after three tries Friday, but the machine shut down again after barely an hour of operation."
18,perhaps you didn't paste the codes correctly and that's why you can see the links.  if that is what you are talking about....if that is the case then you need go back and clear everything out and copy and paste again and make sure that you have the entire code.
19,"In a short time, in a public way -- while on Metro, or in line at Starbucks, or inside a movie theater -- ring tones signal who you are. Or who you want people to think you are.&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
20,They are most likely spam.
21,"One thing I dislike about the Democratic party is its inability to properly organize itself and its issues.  Our population is majority democrat, but so many democrats cannot or choose not to vote.  I also think that a lot of liberals have holier than thou values about Christianity (they think that the only smart people out there are atheists), which are kind of hypocritical of liberal ideals. \n\nI like the patriotism of a lot of Republicans.  They're really into that heartwarming, feel good to be an American stuff.  Even like the president running around with that soldier who lost his legs in Iraq.  I think that's just a pretty cool thing to do."
22,"Ah yes...having an English-speaker rape me would make the experience of rape so much more pleasant. \n\nOh, and knowing my rapist's citizenship and/or visa status would make me feel less used, less victimized, just a-okay.\n\nWhat kind of a question is this, you freak?!"
23,"I think that the problem is that players are diving and cheating a lot more than ever before so it is much harder on referees. However, some referees seem to just enjoy handing out yellow and red cards and these do often spoil games. Referees need to be advised as to when someone is diving both by their assistants and through ear pieces an this should reduce the amount of cheating, and wrong decisions in the game."
24,"I'm not able to see a question in this, so not able to answer it. Are you looking for recipes to cook them? How to burn them? You really have to be more specific to get (useful) answers."
25,"NEW YORK (CBS.MW) -- US stocks ended lower Friday as September #39;s weaker-than-expected employment report closed out a week of disappointing economic data, with a new a record high for oil and a lackluster start to the third quarter earning season prompting "
26,Yes!!!\nOf course he will!\n=^_^=
27,"You need to purchase a firewire PCI card.  Go down to your local computer store.  You should be able to pick one up for under $40.  With the computer off, open the case, plug it into an available PCI slot, and voila! instant firewire.\n\nBefore you buy, check if your firewire devices are 800 Mb/s or 400 Mb/s.  If they're only 400, don't waste the extra money on the 800 Mb/s card."
28," SAN FRANCISCO (Billboard) - With a possible billion-dollar  windfall at stake, U.S. music companies are eagerly awaiting  the full-blown development of the stateside ringtone market."
29," &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RSE.N target=/stocks/quickinfo/fullquote""&gt;RSE.N&lt;/A&gt; jumped before the bell after General Growth  Properties Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GGP.N target=/stocks/quickinfo/fullquote""&gt;GGP.N&lt;/A&gt;, the No. 2 U.S. shopping mall owner, on  Friday said it would buy Rouse for \$7.2 billion."
30,wikipedia.com
31,THEY MAY HAVE CHANGED IT SINCE SBC IS NOW AT&T AGAIN! I THINK EVERYTHING IS SCREWED NOW... THEY EVEN RENAMED AN ENTIRE BASKETBALL STADIUM IN SAN ANTONIO FROM THE SBC CENTER TO THE AT&T CENTER! IT IS SORTA FUNNY!
32,I think that the country that wins the final game will win the ongoing world cup.
33,So you can have someone to sue when you drink and drive and kill someone!
34,regardes là
35,"He was arrested and convicted for insurance fraud after setting fire to his own house in Los Angeles, and he was treated for alcohol and cocaine addictions."
36,"Is the NFL's only three-time MVP (1995-97) \n\n\nStands alone at third on the all-time QB wins list with 135, behind only John Elway (148) and Dan Marino (147). With a 135-70 record, holds the fourth-highest winning percentage (.659) among starters who have begun their careers since the 1970 league merger (min. 100 starts) \n\n\nPossesses a 38-3 home record including playoffs when the kickoff temperature is 34 or below; owns an impressive 95.0 passer rating in those contests \n\n\nHas started 205 consecutive games (225 including playoffs), an NFL record for a QB; made his 200th straight start Nov. 29, 2004, in Monday night win over St. Louis, a day proclaimed as ""Brett Favre Day"" in Wisconsin by Governor Jim Doyle \n\n\nGiven name Brett Lorenzo Favre \n\n\nGrew up in Kiln, Miss. (pronounced KILL) \n\n\nFirst NFL completion was to himself, the quarterback snaring his own deflected aerial for -7 yards in contest at Tampa Bay on Sept. 13, 1992 \n\n\nMarried long-time girlfriend Deanna Tynes on July 14, 1996, after a 12-year courtship, the couple has two daughters, Brittany (born 2/6/89) and Breleigh (born 7/13/99) \n\n\nIs an avid golfer, he carries a handicap in the ""one to two"" range - down from the 15 he carried as recently as 1998 \n\n\nAlso enjoys TV nature programs, crossword puzzles, fishing and tending to his home and land on the 460 acres he owns in Hattiesburg, Miss. \n\n\nSplits residence between Hattiesburg and Green Bay \n\n\nGrew up idolizing a pair of Southern quarterbacks, the Saints' Archie Manning and the Cowboys' Staubach \n\nanother word a Great qb in the nfl"
37,"After one of the most embarrassing weeks in British Airways #39; history, the recriminations begin tomorrow. Rod Eddington, the airline #39;s gregarious Australian chief executive, says he will mount a full investigation "
38,"While rivals scramble to catch up on the desktop, Google plans to digitize famous libraries. Its official. Google is the most dangerous media company on the planet."
39,"Yes!!!!  This guy is a franchise quarterback.  He was one of the best players in the league before his injury.  As long as his injury is behind him, he's worth way more than a 2nd round pick.  I can't believe the Raiders turned down giving up a 2nd rounder to reuinite Moss and Dante."
40,"just put in plain english what your realtor was able to do for you, and that you were very happy with the service provided..."
41,hmmmmmmmmm..\n\nur crush??????????????\n\nnot badddddddddd ...coooooooooollllllllll
42,Mercury sulfide (HgS2) is red.  It is a mineral called cinnebar.  It would be irresponsible to use it if people would come in contact with it.  It would cause mercury poisoning.
43,"I dont know what you exactly need to do with it, but try out these sites:\n\nhttp://www.salestaxindia.com/htms/product.htm\nhttp://finance.indiamart.com/taxation/salestax.html\n\nOr:\nhttp://incometaxindia.gov.in/\nhttp://www.cbec.gov.in/\nhttp://finmin.nic.in/\nhttp://www.centralexcisedelhi.nic.in/\n\nGood luck!"
44,lol have u seen the movie GIA w/ angelina jolie? if u get unrated version you'll see complete sex scenes and nudity +lesbianism.  \nThe real gia was a lesbian. hope it helps
45,"They're on the rolls like everyone else and can get picked, but most likely the attorneys in the case would seek their exclusion. This is what happened a few weeks ago when Justice Breyer reported for jury duty."
46,"this policy is not as simple to implement as it seems. \nespecially in democracies, it is tough to implement such policies.\n\nAlso, with better education, typically population growth goes down."
47,"You need to prove your genealogy back to a person who is on the final rolls of the tribe.\n\nYou need to get your birth certificate, then your parents' birth certificates, then your grand-parents', and so on until you get back to your tribal member ancestor. \n\nBefore 1900 or so, there were very few birth certificates kept. They were not required. You can get baptismal records or census records instead.\n\nYou can get both census records, and all of the final tribal rolls at the National Archives and records Administration (NARA) Go to www.nara.gov for info.\n\nWith all of this, you are now eligible to JOIN the tribe. You will need to write to them and request to be enrolled. I suppose that gets you all of the benefits of tribal membership, but you aren't owed any money."
48,"Poker , the most popular of a class of games called vying games, in which players with fully or partially concealed cards make wagers into a central pot, which is awarded to the remaining player or players with the best combination of cards. Poker can also refer to video poker which is a single-player game seen in casinos much like a slot machine.\nThe poker room at the Trump Taj Mahal, Atlantic City, NJ.\nEnlarge\nThe poker room at the Trump Taj Mahal, Atlantic City, NJ.\n\nIn order to play, one must learn the basic rules and procedures of the game, the values of the various combinations of cards (see hand), and the rules about betting limits (see betting). Some knowledge of the equipment used to play (see poker equipment) is useful. There are also many variants of poker, loosely categorized as draw poker, stud poker, community card poker (a.k.a. ""widow game""), and miscellaneous poker games. The most commonly played games of the first three categories are five-card draw, seven-card stud, and Texas hold 'em, respectively; each being a common starting point for learning games of the type. Dealer's choice is a way to play poker where the dealer chooses what type of poker to play."
49,"that would be ""Fluor Corporation"" out of Irvine, CA"
50,"There is no long term money in helping ourselves. We have to show ourselves as being the ""do-gooders"" of the planet without helping ourselves.\n\nNothing new here and it'll never change."
51,"Save your money and do it yourself. I send my own letters to dispute everything on my credit reports.  I make sure that they do all the followup by the FCRA Regulations.  What does not show correctly, comes off!. Also check with E-loan, they have all types of strategies to help with this. Letters, budgeting, credit repair etc."
52,"In this artist #39;s rendition released by the European Space Agency, the European-made SMART-1 solar-powered satellite is seen nearing the Moon on its way to make the first comprehensive inventory of key chemical elements in the lunar surface."
53,the one who lied and caused the death of many innocent Iraqi people not sure of his name or what he looks like as he has many faces and many identities none of which are for real unless it looks like a jack a--
54,yup.
55,Edson Arantes Do Nascimento
56,I would feed them but I also would want to show them how to fish so they can feed themselves.
57,You mean ghetto right?\nhttp://en.wikipedia.org/wiki/Ghetto
58,If you are talking about lipstick it their choice. However if you are talking about natural lip color. Pink and red are colors that indicate a person is getting good oxygen. Purple or blue with a white ring around the mouth indicates their system is starving for oxygen.
59,"When you are looking for a new bike, you should takesome time to make sure the bike fits you. If you are serious about a bike, you should go to a bike shop instead of a department store. Your local bike shop people will help you get a bike that suits you best.\n\nYou can get a good bike from different brands, it will depend most on your taste. Most common brands include GT, Cannondale, Kona, Santa Cruz, Iron Horse,Tomac among others.\n\nA good site is Mountain Bike review, where users rate their bikes and cycling related accesories.\n\nFor 2000USD you can get a great bike without problem"
60,Adam and Eve must of had sex a lot to populate the world.
61,"I wonder if he will rock back and forth on his chair along with Limbaugh and mock Michael J. Fox?\n\nSad that the Prez doesn't have the courage to face his opposition, and chooses to only speak to controlled audiences in controlled situations....\n\nBut Bush was never really known for his guts."
62,"Ray Nagin was democratically elected as Mayor of New Orleans. If he were for some reason removed from office, then the deputy mayor would be in charge. That is how 'democracy' works.\n\nIf you are looking to put the blame on what happened before, during and after Katrina. A large percentage should be put on the local and state government. It was the govenors job to call for federal assistance BEFORE or even the day OF the hurricane. She should be impeached. \n\nWith that said, the federal government did wait entirely too long to allow the resources to enter the city. Everyone was caught up in their beaurocractic bs and failed to realise the urgency of the situation.\n\nReminds me of Love Canal.."
63,"Your asking questions, and not giving specific info. Why would you do a BK? What do you owe? How many accounts would you include? Is there NO way of paying any of these debts?\n\nI operate a non profit credit reapir web site, and I would be more than happy to help you out.\n\nwww.franklincountycreditrepair.com"
64,"Totalitarianism....\n\nActually it is defined as relating or operating a centralized government in which a single person (to address your question) rules over political, economic,social life and military control.\n\nMy opinion, no those days are go.  A leader like Alexander so  even Cesar had to have generals he could count on.  \n\nI believe those days are far behind us.  And as you indicate, with MAD, even a person like Saddam if he had nukes could not have been another Attila."
65,"conservative, pray where and whenever...."
66,"My brother lived in London for a few years and myself and my sister went to see him.He booked us into an ""hotel"" called St.Patrick's.It was fairly grotty.On the wall in our bedroom in that little underground symbol was written Mind The Herpes!!!!\n\nAlso a good few years ago that same brother of mine threw half a turnip at me.We were walking through a mini zoo in a wood near us.It hurt like hell.Funniest thing was though, about 4/5 years later a friend asked ""what vegetable makes you cry?"" I said an onion? and he goes ""no a turnip, were you ever hit in the head with one?"""
67,"The re-election website of President Bush is blocking overseas visitors because of ""security reasons""."
68,"This is because www.megangulick.com has not been visited by the search engine robots to index it, so they are not aware of the existence of your site.\n\nDo not do what most people would do and solve this problem by submitting your site to the search engines. Do what the professionals do and allow your site to be found by obtaining some inbound links. Inbound links are links from other sites to yours and when the search engine robots see these links they will follow them and arrive at your site.\n\nThe best way to obtain the first few links is to submit your site to some directories and you can see how to do this here http://www.seo-blog.com/directory-links.php\n\nFor information on inbound links in general and how important they are see here http://www.seo-blog.com/inbound-links.php"
69,"Meat from African wild animals being sold illegally in the UK is spreading a virus similar to HIV, a leading scientist warns."
70,"When you filled out the fasta form , the school gets the information for example if you are staying in the dorms etc.... What happens is that the school will send you out a letter with all the  grants/ loans/ work study etc on it. You have to send it back to the University on whether you accept  the package or accept the package with these changes  or deny it completely.  Along with this is a promissory note saying that if you take out the loans that you will pay them back. ( my daughter calls this signing your life away)  Books, living expenses, tuition fees are all part of the package. And the University gets the check first , takes out the tuition and fees and dorm fees if you are staying on campus and it sends you the rest usually right before the start of classes So you can buy books etc. Books will give you a minor stroke when you see how expensive they are. And if you get work study try to get in your department in which your major is..  My daughter learned allot of things seeing profs outside of class and it helped her network within the school of engineering. Best of luck to you."
71,"There are 89 ZIP codes for the city of San Antonio, TX.  In order to get the ZIP code, you will need the exact address.  The source link below will give you the ZIP code for the address you need."
72,I think the song you're talking about is called Dust In The Wind by Kansas. That's the real slow one.
73,"The Indianapolis Colts!! no doubt.  They have the best quarterback, Peyton Manning, (minus the superbowl ring) plus Marvin, the Edge, Stokely, Freeney... Need I say more?"
74,5 stars PLZ go buy it on dvd it is sssssssssssssoooooooooooo great!!!!!!!!!!!!!!!!!!!!!!!!!!!
75,change your phone # and move
76,You shouldnt take sweets from strangers.
77,"Washington Post business columnist Steven Pearlstein will be online to discuss his latest column, which looks at the Bush administration's plans for Social Security and health care."
78,"SAN FRANCISCO -- With the first doubleheader at SBC Park set to go off, today already stood to be a long workday for the Giants. It will come on the heels of an even longer night. "
79,you can't have music on there unless you get the special equipment and the a bigger memory stick that holds about what 150 something on it? Get that first.
80,all people have power